Name,Region,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Central Climate Regiion,Drought,19800601,19801130,40480.8,10020,1260
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Central Climate Regiion,Winter Storm,19820108,19820116,2211.1,662,85
Midwest/Plains/Southeast Tornadoes (April 1982),Central Climate Regiion,Severe Storm,19820402,19820404,1599.5,483.2,33
Severe Storms (June 1982),Central Climate Regiion,Severe Storm,19820531,19820610,1574.2,479.9,30
Southeast Drought (Summer 1983),Central Climate Regiion,Drought,19830601,19830831,9544.4,2964.1,0
Freeze/Cold Wave (December 1983),Central Climate Regiion,Freeze,19831215,19831225,6459.2,2005.8,151
"Tornadoes, Severe Storms, Floods (Spring 1984)",Central Climate Regiion,Severe Storm,19840327,19840407,1851.6,603.1,80
"Winter Storm, Cold Wave (January 1985)",Central Climate Regiion,Winter Storm,19850119,19850122,2493.7,836.9,150
Ohio and Pennsylvania Tornado Outbreak (June 1985),Central Climate Regiion,Severe Storm,19850531,19850531,1752,600,89
"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",Central Climate Regiion,Flooding,19851103,19851108,4046,1400,62
Southeast Drought/Heat Wave (Summer 1986),Central Climate Regiion,Drought,19860601,19860831,5176.4,1803.6,100
U.S. Drought/Heat Wave (Summer 1988),Central Climate Regiion,Drought,19880601,19880831,54410.5,20003.8,454
Northern Plains Drought (Summer-Fall 1989),Central Climate Regiion,Drought,19890601,19891130,7808.1,3003.2,0
"Winter Storm, Cold Wave (December 1989)",Central Climate Regiion,Winter Storm,19891221,19891226,1693.8,680,100
"Severe Storms, Tornadoes (March 1991)",Central Climate Regiion,Severe Storm,19910326,19910329,1503.1,645,0
U.S. Drought (Spring-Summer 1991),Central Climate Regiion,Drought,19910301,19910831,7039.8,3008.5,0
Southeast Severe Weather (November 1992),Central Climate Regiion,Severe Storm,19921121,19921123,1458.5,657,26
Northeast Winter Storm (December 1992),Central Climate Regiion,Winter Storm,19921210,19921213,5512.4,2483,19
East Coast Blizzard and Severe Weather (March 1993),Central Climate Regiion,Winter Storm,19930311,19930314,12159.4,5527,270
Northern Plains and Ohio Valley Severe Weather (July 1993),Central Climate Regiion,Severe Storm,19930708,19930710,1403.9,644,1
Midwest Flooding (Summer 1993),Central Climate Regiion,Flooding,19930627,19930815,46323.6,20960.9,48
Southeast Drought and Heat Wave (Summer 1993),Central Climate Regiion,Drought,19930601,19930831,2780.2,1258,16
"Winter Storm, Cold Wave (January 1994)",Central Climate Regiion,Winter Storm,19940117,19940120,2236.3,1040,70
Southeast Ice Storm (February 1994),Central Climate Regiion,Winter Storm,19940208,19940213,6414.5,2997.5,9
Midwest/Plains Tornadoes (April 1994),Central Climate Regiion,Severe Storm,19940425,19940427,2098.3,985.1,3
South Plains Severe Weather (May 1995),Central Climate Regiion,Severe Storm,19950505,19950507,11357,5486.5,32
"Central, Southern and Northeast Drought/Heat Wave (September 1995)",Central Climate Regiion,Drought,19950701,19950930,2017.6,984,872
Hurricane Opal (October 1995),Central Climate Regiion,Tropical Cyclone,19951004,19951006,9612.5,4689,27
Blizzard/Floods (January 1996),Central Climate Regiion,Winter Storm,19960101,19960131,6126.2,3003,187
