Name,Region,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
Central/Eastern Drought/Heat Wave (Summer-Fall 1980),SouthEast Climate Region,Drought,19800601,19801130,40480.8,10020,1260
Florida Freeze (January 1981),SouthEast Climate Region,Freeze,19810112,19810114,2070.6,572,0
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",SouthEast Climate Region,Severe Storm,19810505,19810510,1405.2,401.4,20
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",SouthEast Climate Region,Winter Storm,19820108,19820116,2211.1,662,85
Midwest/Plains/Southeast Tornadoes (April 1982),SouthEast Climate Region,Severe Storm,19820402,19820404,1599.5,483.2,33
Severe Storms (June 1982),SouthEast Climate Region,Severe Storm,19820531,19820610,1574.2,479.9,30
Gulf States Storms and Flooding (December 1982-January 1983),SouthEast Climate Region,Flooding,19821201,19830115,4930.7,1536.1,45
Southeast Drought (Summer 1983),SouthEast Climate Region,Drought,19830601,19830831,9544.4,2964.1,0
Freeze/Cold Wave (December 1983),SouthEast Climate Region,Freeze,19831215,19831225,6459.2,2005.8,151
"Tornadoes, Severe Storms, Floods (Spring 1984)",SouthEast Climate Region,Severe Storm,19840327,19840407,1851.6,603.1,80
"Winter Storm, Cold Wave (January 1985)",SouthEast Climate Region,Winter Storm,19850119,19850122,2493.7,836.9,150
Florida Freeze (January 1985),SouthEast Climate Region,Freeze,19850120,19850122,3576,1200,0
Hurricane Elena (September 1985),SouthEast Climate Region,Tropical Cyclone,19850830,19850903,3775.4,1297.4,4
Hurricane Gloria (September 1985),SouthEast Climate Region,Tropical Cyclone,19850926,19850928,2482.9,856.1,11
Hurricane Juan (October 1985),SouthEast Climate Region,Tropical Cyclone,19851027,19851031,4325.5,1496.7,63
"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",SouthEast Climate Region,Flooding,19851103,19851108,4046,1400,62
Southeast Drought/Heat Wave (Summer 1986),SouthEast Climate Region,Drought,19860601,19860831,5176.4,1803.6,100
U.S. Drought/Heat Wave (Summer 1988),SouthEast Climate Region,Drought,19880601,19880831,54410.5,20003.8,454
Southern Derecho and Severe Storms (May 1989),SouthEast Climate Region,Severe Storm,19890501,19890506,1401,551.5,21
Hurricane Hugo (September 1989),SouthEast Climate Region,Tropical Cyclone,19890921,19890922,22679.7,8999.9,86
Florida Freeze (December 1989),SouthEast Climate Region,Freeze,19891223,19891225,5200,2000,10
"Winter Storm, Cold Wave (December 1989)",SouthEast Climate Region,Winter Storm,19891221,19891226,1693.8,680,100
"Severe Storms, Tornadoes (March 1991)",SouthEast Climate Region,Severe Storm,19910326,19910329,1503.1,645,0
Hurricane Bob (August 1991),SouthEast Climate Region,Tropical Cyclone,19910818,19910820,3456.7,1502.9,18
Severe Storms (March 1992),SouthEast Climate Region,Severe Storm,19920324,19920325,1817.9,804.3,0
Hurricane Andrew (August 1992),SouthEast Climate Region,Tropical Cyclone,19920823,19920827,60210,27000,61
Southeast Severe Weather (November 1992),SouthEast Climate Region,Severe Storm,19921121,19921123,1458.5,657,26
Northeast Winter Storm (December 1992),SouthEast Climate Region,Winter Storm,19921210,19921213,5512.4,2483,19
East Coast Blizzard and Severe Weather (March 1993),SouthEast Climate Region,Winter Storm,19930311,19930314,12159.4,5527,270
Southeast Drought and Heat Wave (Summer 1993),SouthEast Climate Region,Drought,19930601,19930831,2780.2,1258,16
"Winter Storm, Cold Wave (January 1994)",SouthEast Climate Region,Winter Storm,19940117,19940120,2236.3,1040,70
Southeast Ice Storm (February 1994),SouthEast Climate Region,Winter Storm,19940208,19940213,6414.5,2997.5,9
Tropical Storm Alberto (July 1994),SouthEast Climate Region,Tropical Cyclone,19940707,19940710,2116.8,998.5,32
Hurricane Erin (August 1995),SouthEast Climate Region,Tropical Cyclone,19950801,19950807,1751,850,6
"Central, Southern and Northeast Drought/Heat Wave (September 1995)",SouthEast Climate Region,Drought,19950701,19950930,2017.6,984,872
Hurricane Opal (October 1995),SouthEast Climate Region,Tropical Cyclone,19951004,19951006,9612.5,4689,27
Blizzard/Floods (January 1996),SouthEast Climate Region,Winter Storm,19960101,19960131,6126.2,3003,187
Hurricane Fran (September 1996),SouthEast Climate Region,Tropical Cyclone,19960905,19960908,9963.9,5007,37
Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),SouthEast Climate Region,Severe Storm,19970228,19970305,1925.8,977.5,67
Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),SouthEast Climate Region,Severe Storm,19971201,19980228,1958.8,1004.5,132
"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",SouthEast Climate Region,Severe Storm,19980530,19980602,2197.3,1138.4,20
Hurricane Bonnie (August 1998),SouthEast Climate Region,Tropical Cyclone,19980827,19980829,1881.6,980,3
Southern Drought and Heat Wave (Summer 1998),SouthEast Climate Region,Drought,19980601,19980831,6879.7,3528,200
Hurricane Georges (September 1998),SouthEast Climate Region,Tropical Cyclone,19980920,19980929,11490.2,5984.5,16
Central and Eastern Winter Storm (January 1999),SouthEast Climate Region,Winter Storm,19990101,19990104,1972.1,1032.5,25
Central and Eastern Winter Storm (Mid-January 1999),SouthEast Climate Region,Winter Storm,19990113,19990116,1684.8,882,0
Oklahoma and Kansas Tornadoes (May 1999),SouthEast Climate Region,Severe Storm,19990503,19990506,3802.9,2012.1,55
Eastern Drought/Heat Wave (Summer 1999),SouthEast Climate Region,Drought,19990601,19990831,4772.8,2498.9,502
Hurricane Floyd (September 1999),SouthEast Climate Region,Tropical Cyclone,19990914,19990916,12138.1,6491,77
Southeast Winter Storm (January 2000),SouthEast Climate Region,Winter Storm,20000121,20000124,1313.2,706,4
South Florida Flooding (October 2000),SouthEast Climate Region,Flooding,20001003,20001004,1629,900,3
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),SouthEast Climate Region,Drought,20000301,20001130,9294.5,4997.2,140
Tropical Storm Allison (June 2001),SouthEast Climate Region,Tropical Cyclone,20010605,20010617,15084,8522,43
Severe Storms and Tornadoes (April 2002),SouthEast Climate Region,Severe Storm,20020427,20020428,3663.9,2093.8,7
Tropical Storm Isidore (September 2002),SouthEast Climate Region,Tropical Cyclone,20020925,20020927,2001,1150,5
Eastern Tornadoes and Severe Storms (November 2002),SouthEast Climate Region,Severe Storm,20021109,20021111,1245.6,720,28
U.S. Drought (Spring-Fall 2002),SouthEast Climate Region,Drought,20020301,20021130,16031.6,9006.4,0
Western Fire Season (Fall 2002),SouthEast Climate Region,Wildfire,20020901,20021130,2301.8,1322.8,21
Severe Storms/Hail (April 2003),SouthEast Climate Region,Severe Storm,20030404,20030407,3430.8,2006.3,3
Severe Storms/Tornadoes (May 2003),SouthEast Climate Region,Severe Storm,20030503,20030510,7059.5,4128.4,51
Midwest/Plains Severe Weather (July 2003),SouthEast Climate Region,Severe Storm,20030704,20030709,1467.3,858.1,7
Southern Derecho and Eastern Severe Weather (July 2003),SouthEast Climate Region,Severe Storm,20030721,20030723,1723.9,1008.2,7
Hurricane Isabel (September 2003),SouthEast Climate Region,Tropical Cyclone,20030918,20030919,9322.9,5484,55
"Severe Storms, Hail, Tornadoes (May 2004)",SouthEast Climate Region,Severe Storm,20040521,20040527,1682.9,1013.9,4
Hurricane Charley (August 2004),SouthEast Climate Region,Tropical Cyclone,20040813,20040814,26559.2,15999.5,35
Hurricane Frances (September 2004),SouthEast Climate Region,Tropical Cyclone,20040903,20040909,16268,9800,48
Hurricane Ivan (September 2004),SouthEast Climate Region,Tropical Cyclone,20040912,20040921,34031,20500.5,57
Hurricane Jeanne (September 2004),SouthEast Climate Region,Tropical Cyclone,20040915,20040929,12444.5,7496.5,28
Southeast Severe Weather (March 2005),SouthEast Climate Region,Severe Storm,20050324,20050327,1410,865,0
Hurricane Dennis (July 2005),SouthEast Climate Region,Tropical Cyclone,20050709,20050711,4017,2495,15
Hurricane Katrina (August 2005),SouthEast Climate Region,Tropical Cyclone,20050825,20050830,200047.3,125029.5,1833
Hurricane Rita (September 2005),SouthEast Climate Region,Tropical Cyclone,20050920,20050924,29230.2,18500.1,119
Hurricane Wilma (October 2005),SouthEast Climate Region,Tropical Cyclone,20051024,20051024,30020,19000,35
Severe Storms and Tornadoes (March 2006),SouthEast Climate Region,Severe Storm,20060308,20060313,2100.1,1337.5,10
"Midwest/Southeast Tornadoes (April 6-8, 2006)",SouthEast Climate Region,Severe Storm,20060406,20060408,2502,1603.8,10
Northeast Flooding (June 2006),SouthEast Climate Region,Flooding,20060625,20060628,2358.5,1521.6,20
Midwest/Plains/Southeast Drought (Spring-Summer 2006),SouthEast Climate Region,Drought,20060301,20060831,9536.7,5997.9,0
Numerous Wildfires (2006),SouthEast Climate Region,Wildfire,20060101,20061231,2332.8,1467.1,28
Spring Freeze (April 2007),SouthEast Climate Region,Freeze,20070404,20070410,3168.6,2044,0
East/South Severe Weather and Flooding (April 2007),SouthEast Climate Region,Severe Storm,20070413,20070417,3811.8,2507.8,9
Western Wildfires (Summer 2007),SouthEast Climate Region,Wildfire,20070601,20070831,4139.4,2741.3,12
